Age,Education Level,Internet Connection,Marital Status,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,Theater Freq,TV Movie Freq,TV Signal,Home Ownership,Female,Male
24,3,1,2,2.5,3,1,0,1,2,1,1,1,2,1,2,2,Own,1,0
24,2,4,2,1.0,1,1,0,1,1,1,1,3,2,1,3,2,Rent,1,0
25,2,1,1,2.0,2,1,0,1,2,3,4,3,2,2,1,2,Rent,0,1
36,2,2,1,3.0,4,2,0,2,3,3,1,2,2,2,4,3,Own,0,1
48,2,2,1,4.0,4,3,2,5,2,1,1,3,2,2,4,1,Own,1,0
22,2,1,2,1.5,2,0,0,1,2,1,1,1,2,2,4,2,Rent,0,1
37,5,0,2,2.5,3,1,1,2,1,3,1,4,1,2,4,3,Own,0,1
55,3,1,4,2.5,4,2,0,1,1,1,1,4,3,1,4,3,Own,0,1
36,2,2,1,2.0,3,3,2,5,2,2,4,2,1,2,5,1,Own,1,0
28,3,1,1,1.0,2,1,0,1,2,2,1,1,3,1,4,2,Rent,0,1
47,3,0,3,2.5,5,1,2,1,1,1,1,4,2,1,1,3,Own,1,0
32,2,2,1,3.0,5,2,2,3,1,1,4,4,2,2,1,3,Own,1,0
28,8,0,2,2.0,2,1,0,1,2,3,1,2,2,1,4,2,Rent,0,1
27,2,4,2,1.0,1,1,0,2,1,1,1,2,2,4,4,1,Rent,1,0
28,5,1,1,2.5,5,3,2,3,2,1,1,3,4,2,1,4,Own,0,1
27,8,2,2,1.0,1,1,0,1,2,1,1,3,2,1,2,2,Rent,0,1
37,6,0,1,1.5,3,2,2,2,2,4,1,2,2,2,1,1,Own,0,1
23,2,2,2,1.0,1,2,0,1,1,2,1,2,2,2,1,3,Rent,0,1
34,2,1,1,2.5,3,2,1,3,1,1,1,3,2,1,1,3,Own,0,1
40,5,2,1,3.0,4,2,3,2,2,1,1,4,2,2,4,3,Own,0,1
30,3,0,1,2.0,2,1,2,1,2,2,1,2,1,1,5,2,Rent,0,1
35,4,1,1,3.0,3,2,2,3,1,1,1,1,1,2,3,2,Own,0,1
30,2,1,1,2.5,3,2,0,4,3,4,1,3,2,1,1,2,Own,0,1
26,3,0,2,1.0,2,1,0,1,2,2,1,3,2,1,4,2,Rent,0,1
26,9,1,1,2.5,3,1,1,1,2,1,1,2,4,2,4,4,Own,0,1
23,2,0,2,2.0,2,1,0,2,2,4,1,1,2,1,3,3,Rent,0,1
55,5,1,3,2.0,4,1,0,1,2,2,4,1,1,2,2,2,Own,0,1
35,2,0,1,2.5,3,2,2,2,2,2,1,2,1,2,2,2,Own,0,1
42,3,1,1,1.5,3,2,2,0,2,3,1,1,3,1,4,4,Own,0,1
33,3,0,2,2.5,3,1,0,2,1,2,1,1,3,2,2,2,Own,0,1
27,2,2,1,1.0,1,1,0,1,2,2,1,3,2,2,2,2,Rent,0,1
56,3,1,2,1.0,1,1,0,1,2,3,1,3,2,1,5,1,Rent,1,0
30,1,0,1,2.0,2,1,0,1,1,1,1,1,2,1,3,2,Rent,0,1
24,2,1,4,2.0,2,1,0,1,1,2,1,1,4,3,3,0,Rent,0,1
32,2,1,2,2.0,3,2,0,3,1,4,1,2,2,1,3,3,Own,0,1
33,1,1,1,2.0,3,2,1,2,2,3,1,1,3,2,1,1,Own,0,1
30,3,4,2,1.0,2,1,0,0,2,2,1,5,2,2,5,4,Rent,0,1
40,2,0,0,2.5,3,1,0,2,2,2,1,2,1,1,4,4,Own,0,1
21,2,1,2,1.0,2,1,0,3,1,2,1,2,1,3,4,1,Rent,1,0
26,2,4,2,1.0,2,2,0,1,2,1,1,3,4,1,1,2,Rent,0,1
48,2,2,1,3.5,4,2,3,2,2,4,1,4,2,2,5,2,Own,0,1
37,2,0,2,1.5,1,1,0,1,1,1,1,3,2,3,2,2,Own,0,1
